1433 HAMBLEDON LOOP|DRAGAS MANAGEMENT CORP|B080180100|LANDSCAPE|A|O/P|04/06/2012
1429 HAMBLEDON LOOP|DRAGAS MANAGEMENT CORP|B080180400|LANDSCAPE|A|O/P|04/06/2012
4324 SCHOONER TRAIL|HEARNDON CONSTRUCTION CO|B090293300|LANDSCAPE|A|O/P|04/06/2012
1041 COPPER STONE CIRCLE|RESORT POOLS & FENCES|B090333800|FINAL|R|NOH|04/11/2012
817 PARKER ROAD|PARKER ROBERT J & YVONNE|B090376200|FINAL|R|ATC/WIP|04/13/2012
1411 ANTHONY DRIVE|CHESAPEAKE POOL BUILDERS INC|B090468100|FINAL|R|NOH|04/11/2012
3201 FOXGROVE LANE|GLASER ENTERPRISES|B090522800|FINAL|R||04/11/2012
4300 BUELL STREET|METAL TECHNOLOGIES OF MURFREESBO|B090593200|LANDSCAPE|A||04/06/2012
221 MILLWOOD AVENUE|RAFTER PATRICK J & LESLIE M|B100007700|FINAL|A||04/10/2012
1544 SHILLELAGH ROAD|E & J ENTERPRISES|B100455100|FINAL|A||04/06/2012
1209 DUNLEAVY ST|DOOLEY JEFFERY W & DEE A|B100482400|FINAL|A||04/10/2012
110 CENTERVILLE TURNPIKE N|COMPO CONSTRUCTION CO|B110127400|FIRE|A|OK FIRE FINAL|04/09/2012
530 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154100|FINAL|A||04/09/2012
530 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154100|GRADING|A||04/09/2012
526 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154300|FINAL|A||04/09/2012
526 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154300|GRADING|A||04/09/2012
528 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154400|FINAL|A||04/09/2012
528 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154400|GRADING|A||04/09/2012
524 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154500|FINAL|A||04/09/2012
524 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154500|GRADING|A||04/09/2012
524 HADLEYBROOK DR|DRAGAS MANAGEMENT CORP|B110154500|LANDSCAPE|A|OVERALL PLAN (O/P)|04/09/2012
1217 CHELBROOK ROAD|BLUE WATER POOLS LLC|B110202100|FINAL|A||04/10/2012
1952 REEFWOOD ROAD|STEPHEN ALEXANDER HOMES LLC|B110221200|LGC|A||04/06/2012
1952 REEFWOOD ROAD|STEPHEN ALEXANDER HOMES LLC|B110221200|FLOOD ZONE|A||04/06/2012
1209 DUNLEAVY ST|CONTEMPORARY CUSTOM CONSTRUCTION|B110256800|FINAL|A||04/10/2012
3808 DOUGLAS ROAD|JONES THOMAS EDWARD III(OWNER)|B110269000|FINAL|A||04/06/2012
3808 DOUGLAS ROAD|JONES THOMAS EDWARD III(OWNER)|B110269000|FRAME|A||04/06/2012
3808 DOUGLAS ROAD|JONES THOMAS EDWARD III(OWNER)|B110269000|FOOTING|A||04/06/2012
1028 WEST ROAD|SIR RAMIK INC|B110299000|FOUNDATION|A||04/12/2012
906 GREER STREET|L & L HOMES LLC|B110427200|LGC|A||04/11/2012
1101 CEDAR ROAD|CENTURY CONSTRUCTION COMPANY|B110455000|FINAL|A||04/09/2012
1101 CEDAR ROAD|CENTURY CONSTRUCTION COMPANY|B110455000|AS BUILT|A|SWMF OK|04/11/2012
1101 CEDAR ROAD|CENTURY CONSTRUCTION COMPANY|B110455000|FIRE|R|OK TEMPORARY CO-FIRE LANES KNO|04/06/2012
212 ALLEN DRIVE|BEVINS GARY T|B110486200|FRAME|A||04/12/2012
4753 LAKE SHORE DRIVE|HEARNDON CONSTRUCTION CO|B110495900|LGC|A||04/13/2012
824 PRISCILLA LANE|HEALY JAMES P & CONSTANCE L|B110532000|FINAL|A|SR 12-00042890 JS|04/11/2012
318 CHESHIRE FOREST DRIVE|FERNHEIMER STEVEN A & TERRI L|B110556600|FINAL|A|SR#12-00054289    MDT|04/11/2012
119 WESTONIA ROAD|CAB HOMES INC|B110558600|LANDSCAPE|A||04/06/2012
505 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578600|FINAL|A||04/11/2012
505 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578600|GRADING|A||04/11/2012
501 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578700|FINAL|A||04/11/2012
501 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578700|GRADING|A||04/11/2012
520 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578800|AS BUILT|A|SWMF OK|04/12/2012
518 TRELLIS TRL|DRAGAS MANAGEMENT CORP|B110578900|AS BUILT|A|SWMF OK|04/12/2012
601 LACY OAK DR|DRAGAS MANAGEMENT CORP|B110579000|AS BUILT|A|SWMF OK|04/12/2012
603 LACY OAK DR|DRAGAS MANAGEMENT CORP|B110579100|AS BUILT|A|SWMF OK|04/12/2012
937 STANHOPE GDNS|WH BUILDERS LLC|B110587700|INSULATION|A||04/13/2012
937 STANHOPE GDNS|WH BUILDERS LLC|B110587700|FRAME|A||04/11/2012
937 STANHOPE GDNS|WH BUILDERS LLC|B110587800|FRAME|A||04/11/2012
716 GREAT MARSH AVENUE|WH BUILDERS LLC|B110588500|FRAME|A||04/11/2012
716 GREAT MARSH AVENUE|WH BUILDERS LLC|B110588600|FRAME|A||04/11/2012
716 GREAT MARSH AVENUE|WH BUILDERS LLC|B110588600|INSULATION|A||04/13/2012
100 VOLVO PARKWAY|ROBINSON GAREISS LC|B110588900|FIRE|A|OK FIRE FINAL|04/09/2012
1417 THISTLEWOOD LN|WELDENFIELD OF VIRGINIA LLC|B110605700|INSULATION|A||04/06/2012
1423 THISTLEWOOD LN|WELDENFIELD OF VIRGINIA LLC|B110605800|INSULATION|A||04/06/2012
1421 THISTLEWOOD LN|WELDENFIELD OF VIRGINIA LLC|B110606300|INSULATION|A||04/06/2012
1419 THISTLEWOOD LN|WELDENFIELD OF VIRGINIA LLC|B110606400|INSULATION|A||04/06/2012
1409 HILLSIDE AVENUE|BUILDERS CORPORATION|B110616300|FRAME|A||04/11/2012
4295 WHITE CAP CRST|HEARNDON CONSTRUCTION CO|B110635700|FRAME|R||04/11/2012
1958 DIAMOND HILL ROAD|BGR CONSTRUCTION INC|B110647500|AS BUILT|A|SWMF OK|04/10/2012
1958 DIAMOND HILL ROAD|BGR CONSTRUCTION INC|B110647500|FIRE|A|OK FIRE FINAL|04/06/2012
225 CASTLEBERRY DR|MCQ BUILDERS LLC-1|B110650100|LANDSCAPE|A||04/13/2012
225 CASTLEBERRY DR|MCQ BUILDERS LLC-1|B110650100|GRADING|A||04/13/2012
225 CASTLEBERRY DR|MCQ BUILDERS LLC-1|B110650100|FINAL|A||04/13/2012
1101 CAYMUS RD|MARLYN DEVELOPMENT CORP|B110653100|FRAME|R||04/10/2012
1501 CARLTON DR|MARLYN DEVELOPMENT CORP|B110653400|FRAME|A||04/10/2012
528 STRATHMORE LN|EAGLE CONSTRUCTION OF VIRGINIA L|B110657600|LANDSCAPE|A|OVERALL PLAN (O/P)|04/10/2012
528 STRATHMORE LN|EAGLE CONSTRUCTION OF VIRGINIA L|B110657600|FINAL|A||04/10/2012
528 STRATHMORE LN|EAGLE CONSTRUCTION OF VIRGINIA L|B110657600|GRADING|A||04/10/2012
3961 REX CIR|MCQ BUILDERS LLC-1|B110670400|AS BUILT|A|SWMF OK|04/09/2012
3963 REX CIR|MCQ BUILDERS LLC-1|B110670500|AS BUILT|A|SWMF OK|04/09/2012
3926 REX CIR|MCQ BUILDERS LLC-1|B110670600|AS BUILT|A|SWMF OK|04/09/2012
3924 REX CIR|MCQ BUILDERS LLC-1|B110670900|AS BUILT|A|SWMF OK|04/09/2012
